city,latitude_deg,longitude_deg,month,season,typical_weather,ghi_kwh_m2_day,clearsky_ghi_kwh_m2_day,cloud_amount_percent,precip_mm_day,temp_C,humidity_percent
Idlib,35.93,36.63,10,summer,partly_cloudy,4.22,4.75,37.0,0.98,20.6,56.4
Idlib,35.93,36.63,11,winter,partly_cloudy,2.95,3.58,48.5,1.63,13.0,64.2
Idlib,35.93,36.63,12,winter,rainy,2.13,3.0,61.7,2.76,7.7,74.0
Homs,34.73,36.71,1,winter,cloudy,2.42,3.53,65.2,1.76,5.9,73.1
Homs,34.73,36.71,2,winter,cloudy,3.24,4.6,63.6,1.45,7.4,69.5
Homs,34.73,36.71,3,winter,cloudy,4.76,6.02,56.9,0.92,10.9,63.5
Homs,34.73,36.71,4,winter,partly_cloudy,6.07,7.27,51.5,0.53,14.9,56.2
Homs,34.73,36.71,5,summer,partly_cloudy,7.23,8.06,39.0,0.33,20.0,48.4
Homs,34.73,36.71,6,summer,sunny,8.18,8.51,20.5,0.09,24.3,41.2
Homs,34.73,36.71,7,summer,sunny,8.04,8.25,17.4,0.02,26.9,40.1
Homs,34.73,36.71,8,summer,sunny,7.29,7.49,19.0,0.04,26.9,44.4
Homs,34.73,36.71,9,summer,sunny,6.08,6.39,22.5,0.18,24.1,48.2
Homs,34.73,36.71,10,summer,partly_cloudy,4.43,4.96,38.3,0.47,19.4,51.9
Homs,34.73,36.71,11,winter,partly_cloudy,3.11,3.78,48.7,1.01,12.4,60.4
Homs,34.73,36.71,12,winter,cloudy,2.31,3.19,60.2,1.41,7.9,69.2
Daraa,32.62,36.1,1,winter,partly_cloudy,3.0,3.83,51.5,1.58,7.6,70.3
Daraa,32.62,36.1,2,winter,partly_cloudy,3.79,4.85,52.5,1.58,9.1,66.8
Daraa,32.62,36.1,3,winter,partly_cloudy,5.23,6.19,45.8,0.78,12.5,61.0
Daraa,32.62,36.1,4,winter,partly_cloudy,6.41,7.36,41.6,0.43,16.4,53.1
Daraa,32.62,36.1,5,summer,partly_cloudy,7.54,8.12,32.0,0.13,21.2,45.3
Daraa,32.62,36.1,6,summer,sunny,8.41,8.56,13.7,0.04,24.6,44.1
Daraa,32.62,36.1,7,summer,sunny,8.19,8.3,13.9,0.01,26.5,47.0
Daraa,32.62,36.1,8,summer,sunny,7.48,7.62,15.2,0.04,26.4,51.3
Daraa,32.62,36.1,9,summer,sunny,6.39,6.55,16.4,0.02,24.5,50.6
Daraa,32.62,36.1,10,summer,sunny,4.84,5.18,27.5,0.22,20.8,50.0
Daraa,32.62,36.1,11,winter,partly_cloudy,3.54,4.04,38.4,0.67,14.4,55.9
Daraa,32.62,36.1,12,winter,partly_cloudy,2.84,3.49,46.5,1.36,9.6,64.7
Deir Ezzour,35.34,40.14,1,winter,partly_cloudy,2.7,3.33,45.4,0.84,5.7,70.6
Deir Ezzour,35.34,40.14,2,winter,partly_cloudy,3.58,4.35,48.3,0.81,8.2,65.9
Deir Ezzour,35.34,40.14,3,winter,partly_cloudy,4.93,5.72,46.1,0.72,13.1,56.5
Deir Ezzour,35.34,40.14,4,winter,partly_cloudy,6.02,6.92,46.4,0.57,18.5,48.0
Deir Ezzour,35.34,40.14,5,summer,partly_cloudy,7.09,7.71,36.6,0.33,24.4,39.9
Deir Ezzour,35.34,40.14,6,summer,sunny,8.01,8.2,13.7,0.02,29.6,30.7
Deir Ezzour,35.34,40.14,7,summer,sunny,7.76,7.87,10.3,0.0,32.5,29.6
Deir Ezzour,35.34,40.14,8,summer,sunny,7.01,7.11,10.7,0.0,32.2,31.7
Deir Ezzour,35.34,40.14,9,summer,sunny,5.85,5.98,12.3,0.02,28.3,32.9
Deir Ezzour,35.34,40.14,10,summer,partly_cloudy,4.27,4.59,30.7,0.44,22.4,39.4
Deir Ezzour,35.34,40.14,11,winter,partly_cloudy,3.15,3.55,35.9,0.59,13.2,55.5
Deir Ezzour,35.34,40.14,12,winter,partly_cloudy,2.45,2.98,44.3,0.82,7.4,67.0
